,X,Y,Z
478,0.113258984,0.127894327,0.901603223
479,0.104264041,0.133378025,0.85676582
480,0.095613231,0.138995552,0.813048406
481,0.087299209,0.144611589,0.770673056
482,0.079347969,0.150390365,0.729697975
483,0.071789458,0.156414894,0.690236179
484,0.064691489,0.162742286,0.652400117
485,0.057992465,0.169307233,0.616245169
486,0.051958541,0.176275867,0.582556229
487,0.046353512,0.183565073,0.550661419
488,0.041190942,0.19130197,0.52050649
489,0.03641432,0.19943005,0.492034934
490,0.031990874,0.207984019,0.465135431
491,0.027874831,0.217098706,0.439922126
492,0.024118179,0.226684588,0.416225496
493,0.020660455,0.23676637,0.39393422
494,0.017507874,0.24738936,0.372992921
495,0.014704512,0.258572957,0.353345654
496,0.012158826,0.270168838,0.334934783
497,0.009890595,0.282349431,0.317650681
498,0.007933723,0.295170041,0.30143797
499,0.006256566,0.308701883,0.286241839
500,0.004893028,0.323000263,0.272006909
501,0.003733484,0.338533171,0.258852411
502,0.002907902,0.354814308,0.246434778
503,0.002396504,0.371724752,0.234640429
504,0.002220764,0.3892827,0.223301533
505,0.002408936,0.407307417,0.212303381
506,0.002914118,0.425586254,0.200971267
507,0.003853846,0.444324753,0.189867445
508,0.005194215,0.463467607,0.179047293
509,0.006989475,0.482998308,0.168454304
510,0.009307433,0.502973965,0.158200927
511,0.012191601,0.52365822,0.148122725
512,0.015611465,0.544633803,0.138381876
513,0.019553463,0.565773594,0.129032628
514,0.02404924,0.587006381,0.120129792
515,0.029111791,0.608178535,0.11167111
516,0.034880693,0.629323061,0.103936295
517,0.041189246,0.650152713,0.096754128
518,0.048036321,0.670630985,0.090068101
519,0.055424742,0.690640154,0.08387652
520,0.063284439,0.709996594,0.078177123
521,0.071649884,0.727986381,0.073183511
522,0.080496776,0.745287531,0.068681518
523,0.089763523,0.761888241,0.064503317
524,0.099490245,0.777835621,0.060761357
525,0.109583704,0.793189081,0.057232998
526,0.120158046,0.808151649,0.053864556
527,0.131071436,0.822510297,0.050709714
528,0.142302401,0.83630033,0.047713095
529,0.153778046,0.849455843,0.044874133
530,0.165488199,0.86201274,0.042193393
531,0.177180269,0.873771498,0.039501352
532,0.189057685,0.884956948,0.036912156
533,0.20113062,0.895533182,0.034425239
534,0.213343694,0.9054802,0.032040601
535,0.225743244,0.914890416,0.029815316
536,0.238335487,0.923809139,0.027694006
537,0.251057698,0.932134551,0.02567554
538,0.263982773,0.939932563,0.023760484
539,0.277111842,0.94723968,0.022005345
540,0.290404783,0.954008795,0.020297674
541,0.303911891,0.960251109,0.018749354
542,0.3175727,0.965991327,0.017249067
543,0.331437503,0.971240651,0.015908697
544,0.345456007,0.97598788,0.014616359
545,0.359684722,0.980289521,0.013428561
546,0.37405075,0.984079667,0.012344738
547,0.388615687,0.987423624,0.011309511
548,0.403352974,0.990347901,0.010379389
549,0.418306686,0.992871896,0.00949843
550,0.433432747,0.994976211,0.008722575
551,0.448827787,0.996817965,0.007997577
552,0.464412693,0.998285946,0.00737825
553,0.480147346,0.999333044,0.006752141
554,0.496054348,0.999960461,0.006231137
555,0.512139915,1.000213504,0.00575986
556,0.5283854,1.000009758,0.005281238
557,0.544765374,0.999412237,0.004908285
558,0.561267405,0.998383834,0.004528551
559,0.577863805,0.996914548,0.004142036
560,0.594521798,0.99498558,0.003860627
561,0.611228953,0.992559822,0.003571871
562,0.628003918,0.989719689,0.003332842
563,0.644791315,0.98644518,0.00314354
564,0.661607531,0.982745694,0.002948022
565,0.678424877,0.978611232,0.002746289
566,0.695272172,0.974088301,0.002594847
567,0.712100254,0.969202208,0.00243832
568,0.72884753,0.963887644,0.002332085
569,0.745530387,0.958154011,0.002220199
570,0.762083275,0.952017214,0.002103228
571,0.778527668,0.945441947,0.002036548
572,0.794804233,0.938489423,0.001965348
573,0.81092427,0.931160243,0.00194557
574,0.826809799,0.923433204,0.001865329
575,0.84246308,0.915381323,0.00183764
576,0.857910672,0.906978091,0.001805996
577,0.873076854,0.898275322,0.001771526
578,0.887843525,0.889151202,0.0017331
579,0.902290925,0.879753451,0.001692415
580,0.916290782,0.869996161,0.001648903
581,0.9297702,0.859813426,0.001602002
582,0.94279925,0.849388873,0.00155397
583,0.955287518,0.838610688,0.001503678
584,0.967259868,0.827606592,0.001452821
585,0.978643404,0.816310677,0.001400833
586,0.989445474,0.804804757,0.001348846
587,0.999628215,0.79311474,0.001297424
588,1.009180328,0.781240024,0.001190624
589,1.018096725,0.769171811,0.001140331
590,1.026335591,0.75701722,0.0010923
591,1.034017854,0.744780345,0.001045963
592,1.040967208,0.732437092,0.001001887
593,1.047101716,0.719993968,0.001016579
594,1.052333227,0.707465679,0.000978719
595,1.05666287,0.69488873,0.000944814
596,1.059654968,0.682184934,0.000915995
597,1.06167965,0.669448386,0.000891696
598,1.062764604,0.656689086,0.000871918
599,1.062908699,0.643870526,0.000800153
600,1.062162228,0.631003909,0.000788287
601,1.060751789,0.618178034,0.000724433
602,1.058440611,0.605340009,0.000721042
603,1.055150716,0.592468631,0.000666229
604,1.05087306,0.579636314,0.000617067
605,1.045590127,0.566797153,0.000572991
606,1.038939136,0.553938864,0.000535696
607,1.031278911,0.541154942,0.000448674
608,1.022624711,0.528364776,0.00042268
609,1.013054516,0.515643072,0.000346394
610,1.00259093,0.502991031,0.000331702
611,0.991388784,0.490468053,0.000322661
612,0.97935371,0.478043538,0.000263327
613,0.966508311,0.465718687,0.000265588
614,0.952850328,0.453420484,0.000216426
615,0.938382019,0.441221945,0.000228857
616,0.923157634,0.429106563,0.000246375
617,0.907148353,0.417027829,0.00021247
618,0.890337788,0.404976345,0.000183086
619,0.87276493,0.392962711,0.000214165
620,0.854434865,0.380995725,0.000193822
621,0.834908525,0.368834173,0.00017687
622,0.814774725,0.356769871,0.000164438
623,0.794053806,0.344731006,0.000155397
624,0.77289043,0.332812885,9.43684E-05
625,0.751372749,0.321000804,9.26731E-05
626,0.729590045,0.30937007,9.49334E-05
627,0.707689805,0.297898269,4.40762E-05
628,0.685767526,0.28665251,5.25524E-05
629,0.66396674,0.275691594,8.4762E-06
630,0.642403287,0.265010814,2.31683E-05
631,0.621702711,0.254839577,4.06858E-05
632,0.601282415,0.244931368,4.52064E-06
633,0.581200037,0.235379205,2.76889E-05
634,0.56140811,0.226054165,-3.39048E-06
635,0.541891377,0.216983355,2.37334E-05
636,0.522571857,0.208145574,-2.8254E-06
637,0.503510013,0.199516116,0.000028254
638,0.484728449,0.191149688,5.6508E-06
639,0.466214733,0.182955676,4.01207E-05
640,0.447953608,0.175014694,2.0908E-05
641,0.429865962,0.167215527,2.8254E-06
642,0.412107758,0.159654084,-1.35619E-05
643,0.394645091,0.152275057,2.71238E-05
644,0.377538424,0.145107247,1.29968E-05
645,0.360788888,0.13818716,5.65E-07
646,0.344462031,0.131498891,-1.07365E-05
647,0.328557855,0.125042439,-2.0908E-05
648,0.313097831,0.118782498,2.54286E-05
649,0.298076875,0.112763774,1.69524E-05
650,0.283533976,0.106996867,9.60636E-06
651,0.269617751,0.101495873,2.8254E-06
652,0.256189755,0.096210789,-3.39048E-06
653,0.243222299,0.091131616,-9.04128E-06
654,0.230743072,0.086268354,-0.000014127
655,0.218696697,0.081601002,-1.86476E-05
656,0.207083172,0.077129561,-2.26032E-05
657,0.195884982,0.072808123,-2.65588E-05
658,0.185148462,0.068729103,2.65588E-05
659,0.174815974,0.064799486,2.37334E-05
660,0.16489882,0.061019872,2.0908E-05
661,0.15535914,0.057416168,1.86476E-05
662,0.146234793,0.053962468,1.63873E-05
663,0.137515608,0.050694677,1.46921E-05
664,0.129184069,0.04756689,1.29968E-05
665,0.121257692,0.044625013,1.18667E-05
666,0.113691271,0.041813139,1.07365E-05
667,0.106522666,0.039105361,9.04128E-06
668,0.099731534,0.036573493,7.91112E-06
669,0.093373254,0.034237535,7.34604E-06
670,0.087385101,0.031995673,6.21588E-06
671,0.081940556,0.029989723,5.6508E-06
672,0.076855966,0.028113775,5.08572E-06
673,0.072131332,0.026367831,4.52064E-06
674,0.067738965,0.024741889,3.95556E-06
675,0.063623487,0.023215949,3.39048E-06
676,0.059812588,0.021800012,2.8254E-06
677,0.056268406,0.020519983,2.8254E-06
678,0.052928218,0.01927405,2.26032E-06
679,0.049754164,0.018088118,1.69524E-06
680,0.04676376,0.017008094,1.69524E-06
681,0.043745668,0.01591807,1.69524E-06
682,0.040820814,0.014822139,1.13016E-06
683,0.038051922,0.013822117,1.13016E-06
684,0.035376268,0.012816189,5.65E-07
685,0.032884266,0.011916169,5.65E-07
686,0.030558396,0.011076151,5.65E-07
687,0.028381143,0.010250226,0
688,0.026332163,0.00951021,0
689,0.024449316,0.008830195,0
690,0.022677225,0.008190181,0
691,0.021071268,0.007610168,0
692,0.019603755,0.007080156,0
693,0.018246998,0.006590145,0
694,0.016973308,0.006130135,0
695,0.015838062,0.005720126,0
696,0.014785883,0.005340118,0
697,0.013816771,0.00499011,0
698,0.012930726,0.004670103,0
699,0.012127747,0.004380097,0
700,0.011352457,0.004100091,0
701,0.010604856,0.003830085,0
702,0.009912633,0.003580079,0
703,0.009248099,0.003340074,0
704,0.008638943,0.003120069,0
705,0.008057476,0.002910064,0
706,0.007531386,0.00272006,0
707,0.007060675,0.002550056,0
708,0.006617652,0.002390053,0
709,0.006202318,0.002240049,0
710,0.005814673,0.002100046,0
711,0.005427028,0.001960043,0
712,0.005067072,0.00183004,0
713,0.004734805,0.001710038,0
714,0.004402538,0.001590035,0
715,0.00409796,0.001480033,0
716,0.003821071,0.00138003,0
717,0.003571871,0.001290028,0
718,0.00332267,0.001200026,0
719,0.003101159,0.001120025,0
720,0.002907337,0.001050023,0
721,0.002713514,0.000980022,0
722,0.002519692,0.00091002,0
723,0.002353558,0.000850019,0
724,0.002187425,0.000790017,0
725,0.00204898,0.000740016,0
726,0.001910535,0.000690015,0
727,0.001772091,0.000640014,0
728,0.001661335,0.000600013,0
729,0.00155058,0.000560012,0
730,0.001439824,0.000520011,0
731,0.001329068,0.000480011,0
732,0.001246001,0.00045001,0
733,0.001162935,0.000420009,0
734,0.001079868,0.000390009,0
735,0.000996801,0.000360008,0
736,0.000913734,0.000330007,0
737,0.000858357,0.000310007,0
738,0.000802979,0.000290006,0
739,0.000747601,0.000270006,0
740,0.000692223,0.000250006,0
741,0.000636845,0.000230005,0
742,0.000581467,0.000210005,0
743,0.000553778,0.000200004,0
744,0.000498401,0.000180004,0
